date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:57	257396/257396	---MCZ	200	added ('OK')	text/html	etag:W/%223ed74-cKUcS9CsHsdLQ6eBjt8g6wbg5xo%22	https://preview.shorthand.com/qvIQnNzfvPPWDWA0	D:/Rafy/web/wewed/preview.shorthand.com/qvIQnNzfvPPWDWA0.html	(from )
02:36:59	26/26	---M--	200	added ('OK')	text/plain	etag:%2261aee587-1a%22	https://preview.shorthand.com/robots.txt		(from )
02:37:00	124495/124495	---MCZ	200	added ('OK')	text/css	etag:W/%22a89e1d21e31d16fd59b26eae8c66a1f2%22	https://shorthand.com/story/story.36561.min.css	D:/Rafy/web/wewed/shorthand.com/story/story.36561.min.css	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:00	20708/20708	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2007%20Dec%202021%2019:37:00%20GMT	http://use.typekit.net/wqj3yog.js	D:/Rafy/web/wewed/use.typekit.net/wqj3yog.js	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:02	573/573	---M--	200	added ('OK')	image/png	etag:%220951735809644da5e9e06a5729bccfda%22	https://shorthand.com/themes/0-demo/assets/favicon.png	D:/Rafy/web/wewed/shorthand.com/themes/0-demo/assets/favicon.png	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:02	77115/77115	---MCZ	200	added ('OK')	application/javascript	etag:W/%22efafa688bf366dd92f2deabc43480df4%22	https://shorthand.com/story/ie.36561.min.js	D:/Rafy/web/wewed/shorthand.com/story/ie.36561.min.js	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:02	16982/16982	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e7a65bd4e7ee635c0f2d5899fec52b3%22	https://shorthand.com/story/head.36561.min.js	D:/Rafy/web/wewed/shorthand.com/story/head.36561.min.js	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:03	22084/22084	---MCZ	200	added ('OK')	application/javascript	etag:W/%22611d0882-5644%22	https://iframely.shorthand.com/embed.js?api_key=4c0a0c5255344f2050a6c4f0a0e0ba98	D:/Rafy/web/wewed/iframely.shorthand.com/embed238e.js	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:05	32521/32521	---M--	200	added ('OK')	application/octet-stream	etag:%2284986fc6c35093dcc798c668a9ff7df2%22	https://media.shorthand.com/media/organisations/quo8MZqi0x/AoMaSgijnw/unnamed-removebg-preview-300x300.png?sh-expires-at=1638909416&sh-signature=79463e8ce812acefdd3dc10045a1470ba70c0b68c7954346c6a38d2162dfb6eb	D:/Rafy/web/wewed/media.shorthand.com/media/organisations/quo8MZqi0x/AoMaSgijnw/unnamed-removebg-preview-300x3001727.png	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:07	42353/42353	---M--	200	added ('OK')	application/octet-stream	etag:%226acaa30b8cd13cebb311ce4eb6444e5a%22	https://media.shorthand.com/media/organisations/quo8MZqi0x/fXKX765dCF/gatra-removebg-preview-600x400.png?sh-expires-at=1638909416&sh-signature=5401f3c2752d246251f2de11b6186efd0d2ea0b9dc5a16fd895629e7220d2760	D:/Rafy/web/wewed/media.shorthand.com/media/organisations/quo8MZqi0x/fXKX765dCF/gatra-removebg-preview-600x4000ec3.png	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
02:37:07	334179/334179	---MCZ	200	added ('OK')	application/javascript	etag:W/%228931b43d3e0406e915d7a1f1fbace4bf%22	https://shorthand.com/story/story.36561.min.js	D:/Rafy/web/wewed/shorthand.com/story/story.36561.min.js	(from https://preview.shorthand.com/qvIQnNzfvPPWDWA0)
